date,4월이벤트
2020-03-20,19.49152
2020-03-21,7.06214
2020-03-22,8.19209
2020-03-23,24.29378
2020-03-24,25.70621
2020-03-25,31.07344
2020-03-26,24.01129
2020-03-27,24.57627
2020-03-28,12.42937
2020-03-29,11.29943
2020-03-30,38.98305
2020-03-31,48.02259
2020-04-01,81.9209
2020-04-02,44.35028
2020-04-03,27.68361
2020-04-04,13.27683
2020-04-05,13.8418
2020-04-06,23.16384
2020-04-07,26.55367
2020-04-08,29.37853
2020-04-09,19.20903
2020-04-10,18.64406
2020-04-11,12.71186
2020-04-12,14.12429
2020-04-13,20.90395
2020-04-14,16.66666
2020-04-15,7.34463
2020-04-16,16.10169
2020-04-17,15.25423
2020-04-18,4.23728
2020-04-19,9.32203
2020-04-20,12.14689
2020-04-21,8.75706
2020-04-22,9.60451
2020-04-23,6.21468
2020-04-24,6.21468
2020-04-25,4.80225
2020-04-26,4.23728
2020-04-27,5.08474
2020-04-28,3.10734
2020-04-29,1.69491
2020-12-04,1.41242
2020-12-17,1.41242
2021-01-11,3.10734
2021-01-12,2.25988
2021-01-14,3.38983
2021-01-18,1.69491
2021-01-19,1.9774
2021-01-21,1.41242
2021-01-25,1.41242
2021-02-01,3.10734
2021-02-02,4.51977
2021-02-03,2.54237
2021-02-06,1.41242
2021-02-08,2.54237
2021-02-09,5.36723
2021-02-10,1.41242
2021-02-15,1.9774
2021-02-16,5.08474
2021-02-17,1.69491
2021-02-18,3.38983
2021-02-19,1.69491
2021-02-22,4.23728
2021-02-23,5.64971
2021-02-24,3.67231
2021-02-25,5.36723
2021-02-26,6.21468
2021-03-02,5.64971
2021-03-03,11.8644
2021-03-04,12.71186
2021-03-05,10.73446
2021-03-06,4.51977
2021-03-07,3.10734
2021-03-08,15.53672
2021-03-09,16.10169
2021-03-10,17.23163
2021-03-11,22.88135
2021-03-12,21.18644
2021-03-13,3.67231
2021-03-14,8.19209
2021-03-15,28.53107
2021-03-16,29.9435
2021-03-17,36.44067
2021-03-18,28.53107
2021-03-19,28.24858
2021-03-20,11.01694
2021-03-21,10.73446
2021-03-22,35.8757
2021-03-23,46.61016
2021-03-24,41.8079
2021-03-25,41.24293
2021-03-26,36.44067
2021-03-27,12.99435
2021-03-28,14.68926
2021-03-29,52.54237
2021-03-30,46.61016
2021-03-31,60.16949
2021-04-01,90.96045
2021-04-02,50.84745
2021-04-03,19.77401
2021-04-04,20.90395
2021-04-05,34.74576
2021-04-06,33.05084
2021-04-07,26.55367
2021-04-08,28.24858
2021-04-09,22.31638
2021-04-10,11.58192
2021-04-11,11.8644
2021-04-12,22.59887
2021-04-13,16.66666
2021-04-14,16.66666
2021-04-15,16.94915
2021-04-16,14.68926
2021-04-17,9.32203
2021-04-18,4.23728
2021-04-19,12.71186
2021-04-20,9.60451
2021-04-21,9.03954
2021-04-22,5.08474
2021-04-23,5.08474
2021-04-24,4.23728
2021-04-25,4.23728
2021-04-26,7.62711
2021-04-27,5.36723
2021-04-28,1.9774
2021-04-29,3.9548
2021-04-30,1.69491
2021-11-04,1.41242
2021-12-10,1.41242
2021-12-30,1.69491
2022-01-04,1.69491
2022-01-05,1.69491
2022-01-06,1.41242
2022-01-07,1.41242
2022-01-10,2.25988
2022-01-11,2.54237
2022-01-12,2.54237
2022-01-17,2.54237
2022-01-24,1.41242
2022-02-03,1.69491
2022-02-04,1.41242
2022-02-07,2.25988
2022-02-08,3.38983
2022-02-09,7.34463
2022-02-10,3.38983
2022-02-11,1.69491
2022-02-14,4.80225
2022-02-15,5.9322
2022-02-16,6.49717
2022-02-17,4.80225
2022-02-18,1.41242
2022-02-19,2.25988
2022-02-20,1.9774
2022-02-21,6.77966
2022-02-22,3.38983
2022-02-23,5.08474
2022-02-24,6.77966
2022-02-25,3.9548
2022-02-26,4.80225
2022-02-28,10.16949
2022-03-01,4.51977
2022-03-02,12.42937
2022-03-03,16.66666
2022-03-04,12.42937
2022-03-05,4.51977
2022-03-06,2.82485
2022-03-07,22.03389
2022-03-08,24.29378
2022-03-09,4.23728
2022-03-10,25.42372
2022-03-11,26.83615
2022-03-12,6.77966
2022-03-13,8.47457
2022-03-14,35.8757
2022-03-15,38.13559
2022-03-16,32.48587
2022-03-17,33.61581
2022-03-18,37.8531
2022-03-19,11.8644
2022-03-20,12.71186
2022-03-21,47.74011
2022-03-22,53.9548
2022-03-23,43.78531
2022-03-24,50.84745
2022-03-25,42.37288
2022-03-26,16.94915
2022-03-27,18.64406
2022-03-28,52.54237
2022-03-29,63.55932
2022-03-30,56.77966
2022-03-31,62.14689
2022-04-01,100.0
2022-04-02,29.9435
2022-04-03,28.24858
2022-04-04,57.06214
2022-04-05,40.11299
2022-04-06,35.8757
2022-04-07,22.31638
2022-04-08,20.33898
2022-04-09,11.29943
2022-04-10,7.34463
2022-04-11,25.14124
2022-04-12,22.03389
2022-04-13,22.31638
2022-04-14,22.31638
2022-04-15,12.71186
2022-04-16,9.887
2022-04-17,5.9322
2022-04-18,15.53672
2022-04-19,13.27683
2022-04-20,11.29943
2022-04-21,11.01694
2022-04-22,8.47457
2022-04-23,1.9774
2022-04-24,2.54237
2022-04-25,3.67231
2022-04-26,5.36723
2022-04-27,3.67231
2022-04-28,5.08474
2022-04-29,1.69491
2022-11-25,1.41242
2022-11-28,2.25988
2022-11-29,1.41242
2022-11-30,1.41242
2022-12-05,1.9774
2022-12-12,1.41242
2022-12-13,1.41242
2022-12-15,1.41242
2022-12-21,3.10734
2022-12-22,3.10734
2022-12-23,1.41242
2022-12-26,1.69491
2022-12-27,2.25988
2022-12-29,1.69491
2023-01-03,3.10734
2023-01-04,2.54237
2023-01-05,5.9322
2023-01-06,1.69491
2023-01-10,1.9774
2023-01-11,1.9774
2023-01-12,2.54237
2023-01-15,1.69491
2023-01-16,1.41242
2023-01-17,1.41242
2023-01-18,2.82485
2023-01-19,1.69491
2023-01-20,1.9774
2023-01-25,1.9774
2023-01-26,1.69491
2023-01-27,3.10734
2023-01-31,2.82485
2023-02-01,3.67231
2023-02-02,3.67231
2023-02-03,1.9774
2023-02-04,1.69491
2023-02-06,4.23728
2023-02-07,9.03954
2023-02-08,5.08474
2023-02-09,7.9096
2023-02-10,4.51977
2023-02-13,7.06214
2023-02-14,5.36723
2023-02-15,4.51977
2023-02-16,3.67231
2023-02-17,7.06214
2023-02-18,3.9548
2023-02-20,8.47457
2023-02-21,5.36723
2023-02-22,7.06214
2023-02-23,9.32203
2023-02-24,8.75706
2023-02-25,3.9548
2023-02-27,10.16949
2023-02-28,9.887
2023-03-01,3.67231
2023-03-02,20.90395
2023-03-03,15.25423
2023-03-04,5.64971
2023-03-05,5.64971
2023-03-06,22.88135
2023-03-07,26.55367
2023-03-08,24.29378
2023-03-09,27.11864
2023-03-10,25.9887
2023-03-11,5.36723
2023-03-12,7.34463
2023-03-13,37.57062
2023-03-14,40.67796
2023-03-15,41.8079
2023-03-16,35.59322
2023-03-17,31.07344
2023-03-18,9.03954
2023-03-19,12.14689
2023-03-20,51.12994
2023-03-21,59.32203
2023-03-22,56.77966
2023-03-23,50.28248
2023-03-24,45.19774
2023-03-25,11.29943
2023-03-26,14.12429
2023-03-27,77.40112
2023-03-28,57.62711
2023-03-29,57.34463
2023-03-30,45.76271
2023-03-31,61.58192
2023-04-01,46.04519
2023-04-02,26.83615
2023-04-03,71.75141
2023-04-04,56.77966
2023-04-05,49.15254
2023-04-06,37.28813
2023-04-07,29.9435
2023-04-08,12.42937
2023-04-09,11.29943
2023-04-10,32.76836
2023-04-11,29.66101
2023-04-12,25.9887
2023-04-13,20.90395
2023-04-14,16.66666
2023-04-15,6.21468
2023-04-16,9.887
2023-04-17,20.62146
2023-04-18,16.94915
2023-04-19,12.42937
2023-04-20,6.77966
2023-04-21,5.36723
2023-04-22,5.9322
2023-04-23,1.69491
2023-04-24,7.34463
2023-04-25,4.23728
2023-04-26,1.41242
2023-04-27,5.08474
2023-04-28,4.51977
2023-04-29,1.69491
2023-04-30,3.9548
2023-11-02,1.69491
2023-11-16,1.41242
2023-11-17,1.41242
2023-11-27,1.41242
2023-12-12,1.41242
2023-12-18,1.69491
2023-12-26,3.38983
2023-12-29,1.41242
2024-01-03,2.82485
2024-01-04,3.10734
2024-01-05,1.41242
2024-01-08,1.41242
2024-01-09,1.41242
2024-01-10,1.9774
2024-01-11,1.9774
2024-01-15,4.23728
2024-01-16,1.9774
2024-01-18,1.9774
2024-01-19,2.25988
2024-01-22,1.41242
2024-01-23,2.82485
2024-01-24,5.08474
2024-01-26,1.41242
2024-01-29,4.23728
2024-01-30,1.9774
2024-01-31,1.41242
2024-02-01,2.54237
2024-02-02,3.67231
2024-02-05,3.9548
2024-02-06,5.36723
2024-02-07,3.67231
2024-02-08,1.41242
2024-02-13,7.34463
2024-02-14,6.77966
2024-02-15,7.06214
2024-02-16,5.36723
2024-02-17,3.38983
2024-02-19,8.19209
2024-02-20,7.06214
2024-02-21,8.19209
2024-02-22,4.51977
2024-02-23,5.64971
2024-02-25,3.10734
2024-02-26,6.49717
2024-02-27,12.14689
2024-02-28,10.45197
2024-02-29,12.42937
2024-03-01,4.23728
2024-03-02,4.51977
2024-03-03,6.21468
2024-03-04,13.27683
2024-03-05,17.23163
2024-03-06,22.03389
2024-03-07,21.75141
2024-03-08,23.16384
2024-03-09,5.36723
2024-03-10,9.60451
2024-03-11,28.24858
2024-03-12,24.85875
2024-03-13,30.79096
2024-03-14,31.63841
2024-03-15,34.18079
2024-03-16,12.14689
2024-03-17,10.45197
2024-03-18,40.39548
2024-03-19,46.89265
2024-03-20,45.48022
