date,STX주가
2020-03-20,0.14825
2020-03-21,0.05294
2020-03-22,0.03529
2020-03-23,0.15884
2020-03-24,0.19414
2020-03-25,0.21179
2020-03-26,0.18002
2020-03-27,0.15178
2020-03-28,0.07059
2020-03-29,0.03176
2020-03-30,0.12001
2020-03-31,0.17649
2020-04-01,0.22238
2020-04-02,0.28945
2020-04-03,0.22591
2020-04-04,0.04235
2020-04-05,0.03176
2020-04-06,0.2365
2020-04-07,0.36005
2020-04-08,0.39535
2020-04-09,0.34593
2020-04-10,0.41653
2020-04-11,0.09883
2020-04-12,0.06706
2020-04-13,0.31416
2020-04-14,0.25062
2020-04-15,0.08118
2020-04-16,0.2365
2020-04-17,0.21885
2020-04-18,0.07765
2020-04-19,0.06353
2020-04-20,0.25415
2020-04-21,0.33181
2020-04-22,0.21885
2020-04-23,0.2012
2020-04-24,0.87895
2020-04-25,0.14119
2020-04-26,0.08471
2020-04-27,0.25062
2020-04-28,0.24003
2020-04-29,0.32828
2020-04-30,0.09177
2020-05-01,0.06353
2020-05-02,0.04588
2020-05-03,0.04941
2020-05-04,0.12354
2020-05-05,0.06706
2020-05-06,0.19061
2020-05-07,0.23297
2020-05-08,0.21885
2020-05-09,0.04588
2020-05-10,0.03176
2020-05-11,0.14825
2020-05-12,0.28945
2020-05-13,0.22238
2020-05-14,0.24356
2020-05-15,0.24003
2020-05-16,0.05294
2020-05-18,0.17649
2020-05-19,0.20826
2020-05-20,0.19414
2020-05-21,0.16237
2020-05-22,0.13413
2020-05-23,0.02117
2020-05-24,0.03176
2020-05-25,0.1306
2020-05-26,0.17296
2020-05-27,0.31769
2020-05-28,0.21532
2020-05-29,0.19061
2020-05-30,0.06
2020-05-31,0.02823
2020-06-01,0.28239
2020-06-02,0.25768
2020-06-03,0.25415
2020-06-04,0.33887
2020-06-05,0.26474
2020-06-06,0.03176
2020-06-07,0.03529
2020-06-08,0.27533
2020-06-09,0.15178
2020-06-10,0.18355
2020-06-11,0.19061
2020-06-12,0.12707
2020-06-13,0.03176
2020-06-14,0.0247
2020-06-15,0.09883
2020-06-16,0.30004
2020-06-17,0.18355
2020-06-18,0.19767
2020-06-19,0.19767
2020-06-20,0.03529
2020-06-21,0.02823
2020-06-22,0.15531
2020-06-23,0.18355
2020-06-24,0.20826
2020-06-25,0.21532
2020-06-26,0.20826
2020-06-27,0.02823
2020-06-28,0.04941
2020-06-29,0.25062
2020-06-30,0.20826
2020-07-01,0.15178
2020-07-02,0.12354
2020-07-03,0.17649
2020-07-04,0.04235
2020-07-05,0.01764
2020-07-06,0.13413
2020-07-07,0.19414
2020-07-08,0.16943
2020-07-09,0.18708
2020-07-10,0.24003
2020-07-11,0.06
2020-07-12,0.03882
2020-07-13,0.25768
2020-07-14,0.25062
2020-07-15,0.24356
2020-07-16,0.25768
2020-07-17,0.24709
2020-07-19,0.02117
2020-07-20,0.1659
2020-07-21,0.13413
2020-07-22,0.18708
2020-07-23,0.26474
2020-07-24,0.22944
2020-07-25,0.03529
2020-07-26,0.02117
2020-07-27,0.22591
2020-07-28,0.18708
2020-07-29,0.19061
2020-07-30,0.20473
2020-07-31,0.16943
2020-08-01,0.02823
2020-08-02,0.03176
2020-08-03,0.12707
2020-08-04,0.14119
2020-08-05,0.13766
2020-08-06,0.10589
2020-08-07,0.57538
2020-08-08,0.25768
2020-08-09,0.21532
2020-08-10,0.39888
2020-08-11,0.22238
2020-08-12,0.20473
2020-08-13,0.23297
2020-08-14,0.16943
2020-08-15,0.06
2020-08-17,0.04588
2020-08-18,0.15884
2020-08-19,0.1659
2020-08-20,0.1659
2020-08-21,0.14825
2020-08-22,0.03882
2020-08-24,0.22944
2020-08-25,0.18708
2020-08-26,0.17296
2020-08-27,0.17649
2020-08-28,0.21885
2020-08-29,0.03529
2020-08-30,0.04588
2020-08-31,0.26827
2020-09-01,0.57185
2020-09-02,1.2496
2020-09-03,0.96014
2020-09-04,0.826
2020-09-05,0.13413
2020-09-06,0.11648
2020-09-07,0.49419
2020-09-08,0.45889
2020-09-09,0.38829
2020-09-10,0.39535
2020-09-11,0.27886
2020-09-12,0.07059
2020-09-13,0.06
2020-09-14,0.42006
2020-09-15,0.30004
2020-09-16,0.3777
2020-09-17,0.30004
2020-09-18,0.22238
2020-09-19,0.03529
2020-09-20,0.05294
2020-09-21,0.19767
2020-09-22,0.21179
2020-09-23,0.21885
2020-09-24,0.26121
2020-09-25,0.19414
2020-09-26,0.1306
2020-09-27,0.02823
2020-09-28,0.28592
2020-09-29,0.14119
2020-09-30,0.02117
2020-10-01,0.03176
2020-10-02,0.02823
2020-10-03,0.02117
2020-10-04,0.01764
2020-10-05,0.15178
2020-10-06,0.13413
2020-10-07,0.18002
2020-10-08,0.24356
2020-10-09,0.03529
2020-10-10,0.02117
2020-10-11,0.01764
2020-10-12,0.14825
2020-10-13,0.15884
2020-10-14,0.18708
2020-10-15,0.20826
2020-10-16,0.15531
2020-10-17,0.03176
2020-10-19,0.12001
2020-10-20,0.19061
2020-10-21,0.15884
2020-10-22,0.19061
2020-10-23,0.14472
2020-10-25,0.02117
2020-10-26,0.1306
2020-10-27,0.15531
2020-10-28,0.10236
2020-10-29,0.15531
2020-10-30,0.15531
2020-10-31,0.03529
2020-11-01,0.03176
2020-11-02,0.12001
2020-11-03,0.12354
2020-11-04,0.12707
2020-11-05,0.13766
2020-11-06,0.11648
2020-11-07,0.02117
2020-11-08,0.02117
2020-11-09,0.1659
2020-11-10,0.25062
2020-11-11,0.18355
2020-11-12,0.53655
2020-11-13,0.5895
2020-11-14,0.06706
2020-11-15,0.07412
2020-11-16,0.51537
2020-11-17,0.43771
2020-11-18,0.42359
2020-11-19,0.31063
2020-11-20,0.38123
2020-11-21,0.08118
2020-11-22,0.01764
2020-11-23,0.53302
2020-11-24,0.38476
2020-11-25,0.33534
2020-11-26,0.22238
2020-11-27,0.34946
2020-11-28,0.04235
2020-11-29,0.05294
2020-11-30,0.37064
2020-12-01,0.30357
2020-12-02,0.25768
2020-12-03,0.38123
2020-12-04,0.33181
2020-12-05,0.0953
2020-12-06,0.06
2020-12-07,0.2718
2020-12-08,0.28592
2020-12-09,0.31063
2020-12-10,0.27886
2020-12-11,0.35652
2020-12-12,0.06706
2020-12-13,0.07412
2020-12-14,0.41653
2020-12-15,0.26827
2020-12-16,0.31063
2020-12-17,0.20826
2020-12-18,0.25768
2020-12-19,0.07412
2020-12-20,0.08471
2020-12-21,0.24709
2020-12-22,0.21885
2020-12-23,0.28945
2020-12-24,0.24003
2020-12-25,0.07059
2020-12-26,0.03529
2020-12-27,0.07765
2020-12-28,0.36711
2020-12-29,0.36005
2020-12-30,0.32122
2020-12-31,0.10589
2021-01-01,0.12001
2021-01-02,0.07765
2021-01-03,0.06
2021-01-04,0.33534
2021-01-05,0.30004
2021-01-06,0.36358
2021-01-07,0.30357
2021-01-08,0.42006
2021-01-09,0.13413
2021-01-10,0.14825
2021-01-11,0.3777
2021-01-12,0.99191
2021-01-13,0.72717
2021-01-14,0.65304
2021-01-15,0.54714
2021-01-16,0.22944
2021-01-17,0.16237
2021-01-18,0.46948
2021-01-19,0.54008
2021-01-20,0.43418
2021-01-21,0.53302
2021-01-22,0.46948
2021-01-23,0.17296
2021-01-24,0.1659
2021-01-25,0.49419
2021-01-26,0.413
2021-01-27,0.52243
2021-01-28,0.37064
2021-01-29,0.36711
2021-01-30,0.21179
2021-01-31,0.17296
2021-02-01,0.43418
2021-02-02,0.31416
2021-02-03,0.25062
2021-02-04,0.21885
2021-02-05,0.29298
2021-02-06,0.1306
2021-02-07,0.09177
2021-02-08,0.25415
2021-02-09,0.28592
2021-02-10,0.18708
2021-02-11,0.06
2021-02-12,0.07412
2021-02-13,0.12001
2021-02-14,0.08824
2021-02-15,0.16943
2021-02-16,0.24709
2021-02-17,0.2718
2021-02-18,0.23297
2021-02-19,0.2365
2021-02-20,0.10236
2021-02-21,0.10236
2021-02-22,0.25062
2021-02-23,0.33887
2021-02-24,0.25062
2021-02-25,0.25415
2021-02-26,0.22591
2021-02-27,0.03529
2021-02-28,0.13766
2021-03-01,0.14825
2021-03-02,0.19414
2021-03-03,0.33534
2021-03-04,0.24356
2021-03-05,0.29298
2021-03-06,0.13413
2021-03-07,0.10589
2021-03-08,0.3071
2021-03-09,0.35652
2021-03-10,0.22238
2021-03-11,0.25768
2021-03-12,0.2012
2021-03-13,0.08471
2021-03-14,0.08824
2021-03-15,0.30004
2021-03-16,0.3071
2021-03-17,0.32475
2021-03-18,0.25415
2021-03-19,0.4836
2021-03-20,0.24709
2021-03-21,0.34946
2021-03-22,1.945
2021-03-23,1.01662
2021-03-24,0.71658
2021-03-25,0.67775
2021-03-26,0.76246
2021-03-27,0.26474
2021-03-28,0.24709
2021-03-29,0.61068
2021-03-30,0.52949
2021-03-31,0.46948
2021-04-01,0.45889
2021-04-02,0.47301
2021-04-03,0.18002
2021-04-04,0.16237
2021-04-05,0.48713
2021-04-06,0.33887
2021-04-07,0.30004
2021-04-08,0.29651
2021-04-09,0.31063
2021-04-10,0.0953
2021-04-11,0.07412
2021-04-12,0.19414
2021-04-13,0.31416
2021-04-14,0.23297
2021-04-15,0.23297
2021-04-16,0.28945
2021-04-17,0.08824
2021-04-18,0.07059
2021-04-19,0.55773
2021-04-20,0.40241
2021-04-21,0.413
2021-04-22,0.34946
2021-04-23,0.25062
2021-04-24,0.06
2021-04-25,0.04588
2021-04-26,0.47654
2021-04-27,0.37064
2021-04-28,0.69893
2021-04-29,0.56479
2021-04-30,1.23195
2021-05-01,0.52243
2021-05-02,0.63892
2021-05-03,4.88898
2021-05-04,6.73867
2021-05-05,1.20018
2021-05-06,2.88397
2021-05-07,2.27681
2021-05-08,0.50125
2021-05-09,0.52949
2021-05-10,2.09679
2021-05-11,1.59553
2021-05-12,1.70849
2021-05-13,1.33079
2021-05-14,1.3908
2021-05-15,0.40241
2021-05-16,0.2718
2021-05-17,1.22489
2021-05-18,1.21077
2021-05-19,0.39182
2021-05-20,1.08722
2021-05-21,1.10487
2021-05-22,0.25768
2021-05-23,0.17649
2021-05-24,1.43316
2021-05-25,1.25313
2021-05-26,2.1215
2021-05-27,1.51434
2021-05-28,1.3202
2021-05-29,0.17296
2021-05-30,0.19767
2021-05-31,1.18959
2021-06-01,1.41551
2021-06-02,1.22842
2021-06-03,1.22136
2021-06-04,0.94602
2021-06-05,0.17296
2021-06-06,0.10942
2021-06-07,1.19312
2021-06-08,1.06604
2021-06-09,1.04486
2021-06-10,1.01662
2021-06-11,0.87542
2021-06-12,0.09883
2021-06-13,0.08824
2021-06-14,0.92837
2021-06-15,0.74834
2021-06-16,0.77658
2021-06-17,0.60715
2021-06-18,0.61068
2021-06-19,0.13766
2021-06-20,0.08471
2021-06-21,0.56832
2021-06-22,0.68481
2021-06-23,0.6601
2021-06-24,0.8613
2021-06-25,0.826
2021-06-26,0.07765
2021-06-27,0.11295
2021-06-28,0.74481
2021-06-29,1.70849
2021-06-30,2.27328
2021-07-01,1.30608
2021-07-02,1.17194
2021-07-03,0.10942
2021-07-04,0.08118
2021-07-05,0.91778
2021-07-06,1.3555
2021-07-07,1.03427
2021-07-08,0.74481
2021-07-09,0.88601
2021-07-10,0.18708
2021-07-11,0.12001
2021-07-12,0.82247
2021-07-13,0.7907
2021-07-14,0.64598
2021-07-15,0.70246
2021-07-16,0.73069
2021-07-17,0.19061
2021-07-18,0.06706
2021-07-19,0.70952
2021-07-20,0.52596
2021-07-21,0.71658
2021-07-22,0.88954
2021-07-23,0.5895
2021-07-24,0.05647
2021-07-25,0.04588
2021-07-26,0.55773
2021-07-27,0.76952
2021-07-28,0.70246
2021-07-29,0.52596
2021-07-30,0.56832
2021-07-31,0.11295
2021-08-01,0.08471
2021-08-02,0.52949
2021-08-03,0.41653
2021-08-04,0.60362
2021-08-05,0.37064
2021-08-06,0.43065
2021-08-07,0.0953
2021-08-08,0.05294
2021-08-09,0.44477
2021-08-10,0.40594
2021-08-11,0.52243
2021-08-12,0.57538
2021-08-13,0.5189
2021-08-14,0.12354
2021-08-15,0.05647
2021-08-16,0.07059
2021-08-17,0.45536
2021-08-18,1.59553
2021-08-19,1.10134
2021-08-20,0.83659
2021-08-21,0.24709
2021-08-22,0.18002
2021-08-23,0.92131
2021-08-24,0.82953
2021-08-25,0.68834
2021-08-26,0.6248
2021-08-27,0.45536
2021-08-28,0.09177
2021-08-29,0.08824
2021-08-30,0.37417
2021-08-31,0.39535
2021-09-01,0.61068
2021-09-02,0.44477
2021-09-03,0.69187
2021-09-04,0.10942
2021-09-05,0.10942
2021-09-06,0.64951
2021-09-07,0.64598
2021-09-08,0.60362
2021-09-09,0.46948
2021-09-10,0.4836
2021-09-11,0.06706
2021-09-12,0.0953
2021-09-13,0.413
2021-09-14,0.72011
2021-09-15,0.48007
2021-09-16,0.49066
2021-09-17,0.53655
2021-09-18,0.10942
2021-09-19,0.03882
2021-09-20,0.07059
2021-09-21,0.05647
2021-09-22,0.14119
2021-09-23,0.4483
2021-09-24,0.4483
2021-09-25,0.11648
2021-09-26,0.06353
2021-09-27,0.47301
2021-09-28,0.43065
2021-09-29,0.35299
2021-09-30,0.40947
2021-10-01,0.39888
2021-10-02,0.07059
2021-10-03,0.08471
2021-10-04,0.18002
2021-10-05,0.42712
2021-10-06,0.40947
2021-10-07,0.35299
2021-10-08,0.28945
2021-10-09,0.07765
2021-10-10,0.04941
2021-10-11,0.07059
2021-10-12,0.30357
2021-10-13,0.31769
2021-10-14,0.413
2021-10-15,0.47301
2021-10-16,0.05647
2021-10-17,0.04235
2021-10-18,0.44124
2021-10-19,0.39888
2021-10-20,0.37417
2021-10-21,0.33181
2021-10-22,0.31769
2021-10-23,0.04941
2021-10-24,0.04941
2021-10-25,0.36005
2021-10-26,0.3424
2021-10-27,0.46242
2021-10-28,0.4483
2021-10-29,0.44477
2021-10-30,0.08471
2021-10-31,0.04941
2021-11-01,0.33181
2021-11-02,0.40947
2021-11-03,0.39535
2021-11-04,0.46242
2021-11-05,0.32828
2021-11-06,0.04588
2021-11-07,0.04941
2021-11-08,0.35299
2021-11-09,0.3071
2021-11-10,0.25415
2021-11-11,0.24709
2021-11-12,0.31416
2021-11-13,0.06353
2021-11-14,0.09177
2021-11-15,0.36358
2021-11-16,0.34946
2021-11-17,0.27533
2021-11-18,0.26474
2021-11-19,0.29651
2021-11-20,0.06
2021-11-21,0.11648
2021-11-22,0.25415
2021-11-23,0.40947
2021-11-24,0.46948
2021-11-25,0.39535
2021-11-26,0.38123
2021-11-27,0.04941
2021-11-28,0.04941
2021-11-29,0.30004
2021-11-30,0.3071
2021-12-01,0.32475
2021-12-02,0.30357
2021-12-03,0.27533
2021-12-04,0.06353
2021-12-05,0.04588
2021-12-06,0.23297
2021-12-07,0.28592
2021-12-08,0.26827
2021-12-09,0.26474
2021-12-10,0.25415
2021-12-11,0.07059
2021-12-12,0.06353
2021-12-13,0.28945
2021-12-14,0.20826
2021-12-15,0.26827
2021-12-16,0.32122
2021-12-17,0.28592
2021-12-18,0.02117
2021-12-19,0.0247
2021-12-20,0.2012
2021-12-21,0.22591
2021-12-22,0.25415
2021-12-23,0.20826
2021-12-24,0.62833
2021-12-25,0.12001
2021-12-26,0.10236
2021-12-27,0.45183
2021-12-28,0.28945
2021-12-29,0.33887
2021-12-30,0.30357
2021-12-31,0.08118
2022-01-01,0.07059
2022-01-02,0.11648
2022-01-03,0.39888
2022-01-04,0.48713
2022-01-05,0.62127
2022-01-06,0.3777
2022-01-07,0.38829
2022-01-08,0.08824
2022-01-09,0.07059
2022-01-10,0.33181
2022-01-11,0.28592
2022-01-12,0.3071
2022-01-13,0.28592
2022-01-14,0.29298
2022-01-15,0.07059
2022-01-16,0.05647
2022-01-17,0.27533
2022-01-18,0.2718
2022-01-19,0.26474
2022-01-20,0.34946
2022-01-21,0.32475
2022-01-22,0.11648
2022-01-23,0.04588
2022-01-24,0.31416
2022-01-25,0.23297
2022-01-26,0.28239
2022-01-27,0.22238
2022-01-28,0.26474
2022-01-29,0.08118
2022-01-30,0.05647
2022-01-31,0.04235
2022-02-01,0.05294
2022-02-02,0.04588
2022-02-03,0.37064
2022-02-04,0.25768
2022-02-05,0.08824
2022-02-06,0.03529
2022-02-07,0.20826
2022-02-08,0.15531
2022-02-09,0.15884
2022-02-10,0.18708
2022-02-11,0.18355
2022-02-12,0.02117
2022-02-13,0.02823
2022-02-14,0.15178
2022-02-15,0.18708
2022-02-16,0.15884
2022-02-17,0.19767
2022-02-18,0.21885
2022-02-19,0.04941
2022-02-20,0.03529
2022-02-21,0.12354
2022-02-22,0.14825
2022-02-23,0.61774
2022-02-24,0.4836
2022-02-25,0.29651
2022-02-26,0.05647
2022-02-27,0.05647
2022-02-28,0.26474
2022-03-01,0.07412
2022-03-02,0.31769
2022-03-03,0.24003
2022-03-04,0.30004
2022-03-05,0.06
2022-03-06,0.07412
2022-03-07,0.28945
2022-03-08,0.78364
2022-03-09,0.27886
2022-03-10,0.40594
2022-03-11,0.3777
2022-03-12,0.0953
2022-03-13,0.14825
2022-03-14,0.35299
2022-03-15,0.36005
2022-03-16,0.24003
2022-03-17,0.31416
2022-03-18,0.26474
2022-03-19,0.08471
2022-03-20,0.05294
2022-03-21,0.27886
