date,비과세종합저축
2020-03-20,12.62175
2020-03-21,7.69074
2020-03-22,7.58928
2020-03-23,12.56087
2020-03-24,12.15503
2020-03-25,16.03084
2020-03-26,16.27435
2020-03-27,13.65665
2020-03-28,7.08198
2020-03-29,7.26461
2020-03-30,14.22483
2020-03-31,13.85957
2020-04-01,17.91801
2020-04-02,18.01948
2020-04-03,10.53165
2020-04-04,7.65016
2020-04-05,8.96915
2020-04-06,11.38392
2020-04-07,11.68831
2020-04-08,11.22159
2020-04-09,11.48538
2020-04-10,11.76948
2020-04-11,6.91964
2020-04-12,7.40665
2020-04-13,12.2362
2020-04-14,11.12012
2020-04-15,7.26461
2020-04-16,10.79545
2020-04-17,10.43019
2020-04-18,5.47889
2020-04-19,7.32548
2020-04-20,12.2362
2020-04-21,11.66801
2020-04-22,11.66801
2020-04-23,10.20698
2020-04-24,11.81006
2020-04-25,5.82386
2020-04-26,6.81818
2020-04-27,11.14042
2020-04-28,10.45048
2020-04-29,10.75487
2020-04-30,6.04707
2020-05-01,6.12824
2020-05-02,4.38311
2020-05-03,6.37175
2020-05-04,12.17532
2020-05-05,7.38636
2020-05-06,8.76623
2020-05-07,9.05032
2020-05-08,7.75162
2020-05-09,4.78896
2020-05-10,5.23538
2020-05-11,10.87662
2020-05-12,9.00974
2020-05-13,7.24431
2020-05-14,8.09659
2020-05-15,7.48782
2020-05-16,4.07873
2020-05-17,5.09334
2020-05-18,9.1112
2020-05-19,9.21266
2020-05-20,9.17207
2020-05-21,8.92857
2020-05-22,7.12256
2020-05-23,4.1599
2020-05-24,4.32224
2020-05-25,9.55762
2020-05-26,9.59821
2020-05-27,8.82711
2020-05-28,9.27353
2020-05-29,7.14285
2020-05-30,3.75405
2020-05-31,3.65259
2020-06-01,17.63392
2020-06-02,10.04464
2020-06-03,8.09659
2020-06-04,7.5284
2020-06-05,6.53409
2020-06-06,4.03814
2020-06-07,3.93668
2020-06-08,9.65909
2020-06-09,6.59496
2020-06-10,9.23295
2020-06-11,7.60957
2020-06-12,6.61525
2020-06-13,2.94237
2020-06-14,2.94237
2020-06-15,6.57467
2020-06-16,7.14285
2020-06-17,6.63555
2020-06-18,7.62987
2020-06-19,6.16883
2020-06-20,3.42938
2020-06-21,2.98295
2020-06-22,6.27029
2020-06-23,5.74269
2020-06-24,6.04707
2020-06-25,6.63555
2020-06-26,5.90503
2020-06-27,3.18587
2020-06-28,3.42938
2020-06-29,6.55438
2020-06-30,6.67613
2020-07-01,5.84415
2020-07-02,4.80925
2020-07-03,4.56574
2020-07-04,2.13068
2020-07-05,2.88149
2020-07-06,5.88474
2020-07-07,4.64691
2020-07-08,4.60633
2020-07-09,6.14853
2020-07-10,5.74269
2020-07-11,2.69886
2020-07-12,3.08441
2020-07-13,4.78896
2020-07-14,5.25568
2020-07-15,5.29626
2020-07-16,4.52516
2020-07-17,4.64691
2020-07-18,2.55681
2020-07-19,3.53084
2020-07-20,7.93425
2020-07-21,6.47321
2020-07-22,6.37175
2020-07-23,6.27029
2020-07-24,5.09334
2020-07-25,3.6323
2020-07-26,2.80032
2020-07-27,5.66152
2020-07-28,5.56006
2020-07-29,4.34253
2020-07-30,6.33116
2020-07-31,6.63555
2020-08-01,2.78003
2020-08-02,2.90178
2020-08-03,6.33116
2020-08-04,5.84415
2020-08-05,5.53977
2020-08-06,4.58603
2020-08-07,5.84415
2020-08-08,2.92207
2020-08-09,2.80032
2020-08-10,6.06737
2020-08-11,7.00081
2020-08-12,5.13392
2020-08-13,4.54545
2020-08-14,4.64691
2020-08-15,2.98295
2020-08-16,3.28733
2020-08-17,3.00324
2020-08-18,4.48457
2020-08-19,5.58035
2020-08-20,6.16883
2020-08-21,6.77759
2020-08-22,3.65259
2020-08-23,4.05844
2020-08-24,6.25
2020-08-25,8.88798
2020-08-26,7.48782
2020-08-27,7.14285
2020-08-28,5.53977
2020-08-29,2.8409
2020-08-30,3.99756
2020-08-31,6.41233
2020-09-01,6.10795
2020-09-02,5.92532
2020-09-03,5.58035
2020-09-04,6.00649
2020-09-05,3.57142
2020-09-06,2.8612
2020-09-07,5.70211
2020-09-08,6.02678
2020-09-09,4.80925
2020-09-10,5.17451
2020-09-11,4.62662
2020-09-12,2.37418
2020-09-13,2.57711
2020-09-14,4.56574
2020-09-15,4.4237
2020-09-16,4.91071
2020-09-17,5.43831
2020-09-18,5.62094
2020-09-19,2.92207
2020-09-20,3.24675
2020-09-21,6.31087
2020-09-22,4.78896
2020-09-23,4.97159
2020-09-24,5.62094
2020-09-25,6.08766
2020-09-26,4.30194
2020-09-27,3.93668
2020-09-28,7.30519
2020-09-29,6.51379
2020-09-30,3.55113
2020-10-01,2.75974
2020-10-02,2.67857
2020-10-03,3.04383
2020-10-04,3.83522
2020-10-05,7.91396
2020-10-06,7.75162
2020-10-07,7.46753
2020-10-08,7.34577
2020-10-09,4.07873
2020-10-10,3.20616
2020-10-11,4.05844
2020-10-12,9.03003
2020-10-13,7.99512
2020-10-14,7.95454
2020-10-15,8.23863
2020-10-16,6.96022
2020-10-17,3.61201
2020-10-18,3.44967
2020-10-19,7.30519
2020-10-20,8.17775
2020-10-21,7.18344
2020-10-22,6.57467
2020-10-23,6.4935
2020-10-24,3.67288
2020-10-25,3.53084
2020-10-26,6.18912
2020-10-27,6.39204
2020-10-28,6.67613
2020-10-29,7.42694
2020-10-30,6.08766
2020-10-31,3.38879
2020-11-01,5.17451
2020-11-02,6.59496
2020-11-03,7.04139
2020-11-04,5.4586
2020-11-05,6.61525
2020-11-06,5.9659
2020-11-07,3.32792
2020-11-08,3.49025
2020-11-09,7.22402
2020-11-10,7.83279
2020-11-11,7.0211
2020-11-12,7.06168
2020-11-13,6.18912
2020-11-14,3.44967
2020-11-15,3.93668
2020-11-16,7.65016
2020-11-17,6.87905
2020-11-18,6.7573
2020-11-19,6.71672
2020-11-20,6.29058
2020-11-21,3.40909
2020-11-22,4.46428
2020-11-23,6.35146
2020-11-24,7.56899
2020-11-25,8.94886
2020-11-26,6.96022
2020-11-27,6.89935
2020-11-28,4.05844
2020-11-29,4.4034
2020-11-30,7.95454
2020-12-01,9.21266
2020-12-02,7.97483
2020-12-03,9.375
2020-12-04,7.85308
2020-12-05,4.76866
2020-12-06,5.39772
2020-12-07,6.73701
2020-12-08,8.34009
2020-12-09,8.19805
2020-12-10,9.31412
2020-12-11,8.50243
2020-12-12,6.79788
2020-12-13,6.08766
2020-12-14,8.68506
2020-12-15,9.0909
2020-12-16,9.74025
2020-12-17,9.25324
2020-12-18,7.60957
2020-12-19,5.60064
2020-12-20,4.80925
2020-12-21,8.15746
2020-12-22,8.76623
2020-12-23,8.13717
2020-12-24,11.20129
2020-12-25,6.18912
2020-12-26,6.63555
2020-12-27,8.23863
2020-12-28,12.84496
2020-12-29,11.26217
2020-12-30,12.07386
2020-12-31,13.16964
2021-01-01,7.8125
2021-01-02,7.10227
2021-01-03,8.44155
2021-01-04,13.69724
2021-01-05,12.54058
2021-01-06,11.42451
2021-01-07,10.47077
2021-01-08,10.49107
2021-01-09,6.02678
2021-01-10,7.42694
2021-01-11,11.32305
2021-01-12,10.43019
2021-01-13,10.6534
2021-01-14,10.16639
2021-01-15,10.59253
2021-01-16,6.27029
2021-01-17,6.65584
2021-01-18,11.28246
2021-01-19,11.14042
2021-01-20,12.45941
2021-01-21,11.76948
2021-01-22,9.6185
2021-01-23,6.18912
2021-01-24,7.32548
2021-01-25,13.57548
2021-01-26,14.69155
2021-01-27,11.46509
2021-01-28,11.85064
2021-01-29,9.82142
2021-01-30,6.10795
2021-01-31,6.79788
2021-02-01,11.28246
2021-02-02,10.36931
2021-02-03,9.92288
2021-02-04,11.66801
2021-02-05,9.80113
2021-02-06,6.14853
2021-02-07,6.02678
2021-02-08,10.53165
2021-02-09,8.60389
2021-02-10,10.08522
2021-02-11,6.06737
2021-02-12,5.23538
2021-02-13,5.80357
2021-02-14,6.55438
2021-02-15,13.47402
2021-02-16,12.17532
2021-02-17,10.61282
2021-02-18,10.43019
2021-02-19,9.25324
2021-02-20,5.4586
2021-02-21,5.33685
2021-02-22,10.08522
2021-02-23,9.33441
2021-02-24,10.00405
2021-02-25,11.34334
2021-02-26,9.65909
2021-02-27,5.53977
2021-02-28,4.87012
2021-03-01,7.10227
2021-03-02,9.13149
2021-03-03,8.70535
2021-03-04,8.80681
2021-03-05,7.30519
2021-03-06,4.52516
2021-03-07,5.09334
2021-03-08,8.68506
2021-03-09,8.3198
2021-03-10,9.51704
2021-03-11,8.80681
2021-03-12,7.14285
2021-03-13,4.62662
2021-03-14,4.24107
2021-03-15,7.91396
2021-03-16,8.60389
2021-03-17,9.00974
2021-03-18,6.45292
2021-03-19,6.55438
2021-03-20,3.87581
2021-03-21,4.4034
2021-03-22,7.5284
2021-03-23,7.85308
2021-03-24,7.5487
2021-03-25,8.07629
2021-03-26,6.89935
2021-03-27,4.24107
2021-03-28,4.70779
2021-03-29,7.85308
2021-03-30,8.07629
2021-03-31,7.99512
2021-04-01,6.93993
2021-04-02,5.66152
2021-04-03,3.46996
2021-04-04,4.36282
2021-04-05,7.22402
2021-04-06,7.22402
2021-04-07,6.39204
2021-04-08,5.80357
2021-04-09,5.01217
2021-04-10,2.94237
2021-04-11,3.32792
2021-04-12,6.47321
2021-04-13,5.9862
2021-04-14,5.82386
2021-04-15,5.41801
2021-04-16,4.76866
2021-04-17,2.92207
2021-04-18,3.26704
2021-04-19,5.62094
2021-04-20,6.06737
2021-04-21,5.01217
2021-04-22,4.70779
2021-04-23,5.03246
2021-04-24,3.26704
2021-04-25,3.6323
2021-04-26,5.9862
2021-04-27,5.15422
2021-04-28,5.62094
2021-04-29,4.60633
2021-04-30,4.36282
2021-05-01,2.15097
2021-05-02,2.80032
2021-05-03,5.84415
2021-05-04,6.02678
2021-05-05,3.81493
2021-05-06,4.6672
2021-05-07,5.68181
2021-05-08,3.51055
2021-05-09,3.38879
2021-05-10,6.73701
2021-05-11,6.08766
2021-05-12,6.71672
2021-05-13,5.27597
2021-05-14,4.38311
2021-05-15,2.61769
2021-05-16,3.04383
2021-05-17,5.64123
2021-05-18,5.25568
2021-05-19,3.3685
2021-05-20,4.64691
2021-05-21,4.6672
2021-05-22,3.00324
2021-05-23,2.80032
2021-05-24,5.41801
2021-05-25,6.98051
2021-05-26,6.33116
2021-05-27,6.12824
2021-05-28,4.78896
2021-05-29,2.31331
2021-05-30,2.88149
2021-05-31,5.47889
2021-06-01,5.49918
2021-06-02,4.74837
2021-06-03,3.87581
2021-06-04,4.18019
2021-06-05,1.78571
2021-06-06,1.82629
2021-06-07,4.4034
2021-06-08,4.32224
2021-06-09,3.40909
2021-06-10,4.72808
2021-06-11,2.8612
2021-06-12,1.72483
2021-06-13,2.25243
2021-06-14,3.44967
2021-06-15,3.69318
2021-06-16,4.4034
2021-06-17,5.07305
2021-06-18,3.73376
2021-06-19,1.84659
2021-06-20,1.86688
2021-06-21,4.09902
2021-06-22,3.67288
2021-06-23,3.32792
2021-06-24,3.53084
2021-06-25,3.79464
2021-06-26,1.94805
2021-06-27,2.15097
2021-06-28,4.48457
2021-06-29,4.26136
2021-06-30,3.71347
2021-07-01,4.52516
2021-07-02,3.99756
2021-07-03,1.37987
2021-07-04,2.13068
2021-07-05,5.47889
2021-07-06,4.44399
2021-07-07,4.28165
2021-07-08,3.99756
2021-07-09,3.38879
2021-07-10,1.98863
2021-07-11,2.45535
2021-07-12,3.95698
2021-07-13,4.11931
2021-07-14,4.1599
2021-07-15,3.65259
2021-07-16,3.77435
2021-07-17,2.02922
2021-07-18,2.65827
2021-07-19,3.71347
2021-07-20,4.11931
2021-07-21,4.01785
2021-07-22,4.4237
2021-07-23,4.28165
2021-07-24,2.15097
2021-07-25,2.94237
2021-07-26,5.31655
2021-07-27,4.48457
2021-07-28,3.93668
2021-07-29,3.67288
2021-07-30,3.44967
2021-07-31,2.55681
2021-08-01,2.47564
2021-08-02,4.28165
2021-08-03,4.58603
2021-08-04,4.48457
2021-08-05,4.1599
2021-08-06,4.07873
2021-08-07,2.17126
2021-08-08,2.35389
2021-08-09,4.07873
2021-08-10,5.39772
2021-08-11,4.52516
2021-08-12,4.03814
2021-08-13,4.78896
2021-08-14,2.19155
2021-08-15,2.15097
2021-08-16,2.51623
2021-08-17,4.22077
2021-08-18,4.44399
2021-08-19,3.57142
2021-08-20,4.07873
2021-08-21,2.51623
2021-08-22,2.31331
2021-08-23,4.34253
2021-08-24,4.97159
2021-08-25,6.37175
2021-08-26,5.11363
2021-08-27,4.38311
2021-08-28,2.15097
2021-08-29,2.98295
2021-08-30,4.87012
2021-08-31,4.95129
2021-09-01,6.20941
2021-09-02,5.13392
2021-09-03,5.25568
2021-09-04,2.63798
2021-09-05,26.23782
2021-09-06,8.56331
2021-09-07,6.43262
2021-09-08,5.76298
2021-09-09,5.03246
2021-09-10,5.78327
2021-09-11,3.69318
2021-09-12,3.3685
2021-09-13,5.4586
2021-09-14,4.97159
2021-09-15,4.58603
2021-09-16,3.87581
2021-09-17,4.70779
2021-09-18,2.61769
2021-09-19,2.53652
2021-09-20,3.24675
2021-09-21,2.98295
2021-09-22,3.93668
2021-09-23,7.12256
2021-09-24,6.71672
2021-09-25,3.99756
2021-09-26,4.09902
2021-09-27,6.06737
2021-09-28,5.86444
2021-09-29,5.86444
2021-09-30,5.90503
2021-10-01,4.64691
2021-10-02,2.8409
2021-10-03,3.00324
2021-10-04,3.14529
2021-10-05,6.63555
2021-10-06,5.51948
2021-10-07,4.05844
2021-10-08,5.05275
2021-10-09,3.06412
2021-10-10,2.45535
2021-10-11,3.3685
2021-10-12,5.62094
2021-10-13,4.62662
2021-10-14,4.24107
2021-10-15,5.1948
2021-10-16,3.34821
2021-10-17,2.96266
2021-10-18,4.70779
2021-10-19,5.11363
2021-10-20,4.1599
2021-10-21,4.58603
2021-10-22,4.11931
2021-10-23,2.51623
2021-10-24,2.43506
2021-10-25,5.62094
2021-10-26,4.36282
2021-10-27,4.09902
2021-10-28,3.71347
2021-10-29,3.83522
2021-10-30,1.92775
2021-10-31,2.49594
2021-11-01,4.78896
2021-11-02,4.95129
2021-11-03,4.4237
2021-11-04,4.34253
2021-11-05,4.26136
2021-11-06,2.47564
2021-11-07,3.16558
2021-11-08,4.87012
2021-11-09,4.56574
2021-11-10,6.18912
2021-11-11,4.50487
2021-11-12,4.74837
2021-11-13,2.37418
2021-11-14,2.47564
2021-11-15,4.89042
2021-11-16,5.23538
2021-11-17,4.82954
2021-11-18,4.70779
2021-11-19,4.44399
2021-11-20,2.47564
2021-11-21,2.80032
2021-11-22,4.74837
2021-11-23,4.4237
2021-11-24,4.6672
2021-11-25,5.90503
2021-11-26,5.25568
2021-11-27,2.8612
2021-11-28,3.34821
2021-11-29,4.76866
2021-11-30,4.82954
2021-12-01,4.18019
2021-12-02,4.18019
2021-12-03,3.87581
2021-12-04,2.67857
2021-12-05,2.49594
2021-12-06,4.26136
2021-12-07,4.48457
2021-12-08,4.72808
2021-12-09,4.56574
2021-12-10,5.56006
2021-12-11,3.20616
2021-12-12,3.24675
2021-12-13,5.21509
2021-12-14,4.87012
2021-12-15,5.88474
2021-12-16,4.34253
2021-12-17,7.89366
2021-12-18,3.59172
2021-12-19,3.40909
2021-12-20,5.1948
2021-12-21,5.51948
2021-12-22,5.25568
2021-12-23,4.95129
2021-12-24,5.92532
2021-12-25,3.57142
2021-12-26,3.69318
2021-12-27,6.16883
2021-12-28,6.51379
2021-12-29,6.4935
2021-12-30,6.25
2021-12-31,6.33116
2022-01-01,4.64691
2022-01-02,5.03246
2022-01-03,8.01542
2022-01-04,8.40097
2022-01-05,8.46185
2022-01-06,7.65016
2022-01-07,7.10227
2022-01-08,3.69318
2022-01-09,4.46428
2022-01-10,7.83279
2022-01-11,7.18344
2022-01-12,6.12824
2022-01-13,6.2297
2022-01-14,5.88474
2022-01-15,4.24107
2022-01-16,3.8961
2022-01-17,8.13717
2022-01-18,8.23863
2022-01-19,7.69074
2022-01-20,8.98944
2022-01-21,14.16396
2022-01-22,5.90503
2022-01-23,5.31655
2022-01-24,8.66477
2022-01-25,11.46509
2022-01-26,9.71996
2022-01-27,8.70535
2022-01-28,9.67938
2022-01-29,5.62094
2022-01-30,5.03246
2022-01-31,4.56574
2022-02-01,6.20941
2022-02-02,7.24431
2022-02-03,12.39853
2022-02-04,10.95779
2022-02-05,6.02678
2022-02-06,6.57467
2022-02-07,10.34902
2022-02-08,10.32873
2022-02-09,9.29383
2022-02-10,10.63311
2022-02-11,8.50243
2022-02-12,4.931
2022-02-13,4.97159
2022-02-14,8.94886
2022-02-15,8.76623
2022-02-16,8.88798
2022-02-17,7.75162
2022-02-18,9.07061
2022-02-19,5.35714
2022-02-20,6.2297
2022-02-21,87.4797
2022-02-22,63.47402
2022-02-23,92.08603
2022-02-24,84.17207
2022-02-25,96.18506
2022-02-26,6.81818
2022-02-27,6.53409
2022-02-28,100.0
2022-03-01,10.08522
2022-03-02,81.00649
2022-03-03,53.24675
2022-03-04,45.67775
2022-03-05,6.73701
2022-03-06,6.79788
2022-03-07,8.23863
2022-03-08,7.99512
2022-03-09,5.01217
2022-03-10,9.29383
2022-03-11,8.56331
2022-03-12,5.39772
2022-03-13,5.49918
2022-03-14,8.44155
2022-03-15,8.98944
2022-03-16,7.26461
2022-03-17,8.13717
2022-03-18,7.48782
2022-03-19,5.43831
