date,신세계백화점제휴카드
2020-03-20,22.06896
2020-03-21,6.20689
2020-03-22,13.7931
2020-03-24,7.5862
2020-03-25,4.82758
2020-03-26,5.51724
2020-03-27,6.89655
2020-03-29,4.82758
2020-03-30,8.27586
2020-03-31,10.34482
2020-04-01,4.82758
2020-04-02,13.10344
2020-04-03,11.03448
2020-04-04,11.72413
2020-04-05,22.06896
2020-04-06,11.72413
2020-04-07,16.55172
2020-04-08,11.72413
2020-04-09,4.13793
2020-04-10,10.34482
2020-04-11,9.65517
2020-04-12,12.41379
2020-04-13,11.03448
2020-04-14,4.13793
2020-04-15,8.96551
2020-04-16,8.96551
2020-04-17,9.65517
2020-04-18,13.7931
2020-04-19,12.41379
2020-04-20,5.51724
2020-04-21,5.51724
2020-04-22,3.44827
2020-04-24,4.82758
2020-04-25,7.5862
2020-04-26,14.48275
2020-04-27,17.24137
2020-04-28,6.20689
2020-04-29,8.96551
2020-04-30,13.10344
2020-05-01,7.5862
2020-05-02,10.34482
2020-05-03,15.86206
2020-05-04,7.5862
2020-05-05,11.03448
2020-05-06,8.96551
2020-05-07,6.20689
2020-05-08,6.89655
2020-05-09,11.72413
2020-05-10,8.27586
2020-05-11,5.51724
2020-05-12,8.27586
2020-05-13,3.44827
2020-05-15,6.89655
2020-05-17,6.89655
2020-05-18,6.89655
2020-05-19,11.03448
2020-05-20,12.41379
2020-05-21,9.65517
2020-05-22,8.27586
2020-05-24,4.82758
2020-05-25,4.13793
2020-05-26,10.34482
2020-05-27,6.20689
2020-05-28,4.13793
2020-05-29,6.20689
2020-05-30,8.27586
2020-05-31,3.44827
2020-06-01,3.44827
2020-06-02,6.89655
2020-06-03,3.44827
2020-06-04,5.51724
2020-06-06,8.27586
2020-06-07,9.65517
2020-06-08,8.27586
2020-06-09,6.89655
2020-06-10,12.41379
2020-06-11,8.96551
2020-06-12,11.72413
2020-06-13,13.7931
2020-06-14,7.5862
2020-06-15,11.72413
2020-06-16,11.03448
2020-06-17,6.20689
2020-06-18,4.82758
2020-06-19,6.20689
2020-06-20,10.34482
2020-06-21,8.96551
2020-06-22,17.93103
2020-06-23,6.89655
2020-06-24,7.5862
2020-06-25,10.34482
2020-06-26,8.96551
2020-06-27,7.5862
2020-06-28,11.03448
2020-06-29,13.10344
2020-06-30,11.03448
2020-07-01,6.20689
2020-07-02,5.51724
2020-07-03,15.17241
2020-07-04,4.13793
2020-07-05,4.13793
2020-07-06,6.20689
2020-07-07,5.51724
2020-07-08,9.65517
2020-07-09,10.34482
2020-07-10,9.65517
2020-07-11,6.20689
2020-07-12,13.7931
2020-07-13,11.03448
2020-07-14,4.82758
2020-07-15,8.96551
2020-07-16,5.51724
2020-07-17,8.27586
2020-07-18,9.65517
2020-07-19,6.20689
2020-07-20,5.51724
2020-07-21,4.13793
2020-07-22,9.65517
2020-07-23,4.82758
2020-07-24,6.89655
2020-07-25,4.13793
2020-07-26,15.17241
2020-07-27,9.65517
2020-07-28,3.44827
2020-07-30,4.82758
2020-07-31,3.44827
2020-08-01,9.65517
2020-08-02,11.72413
2020-08-03,8.27586
2020-08-05,3.44827
2020-08-06,7.5862
2020-08-07,8.27586
2020-08-09,8.27586
2020-08-10,16.55172
2020-08-12,6.89655
2020-08-13,4.82758
2020-08-14,4.82758
2020-08-15,3.44827
2020-08-16,10.34482
2020-08-17,10.34482
2020-08-18,7.5862
2020-08-19,8.96551
2020-08-21,4.82758
2020-08-22,3.44827
2020-08-23,5.51724
2020-08-24,11.72413
2020-08-25,8.27586
2020-08-26,12.41379
2020-08-27,3.44827
2020-08-28,6.89655
2020-08-29,8.96551
2020-08-30,4.82758
2020-09-01,4.82758
2020-09-02,4.82758
2020-09-03,4.82758
2020-09-04,6.89655
2020-09-06,7.5862
2020-09-07,13.7931
2020-09-08,14.48275
2020-09-09,9.65517
2020-09-10,9.65517
2020-09-11,4.82758
2020-09-12,6.89655
2020-09-13,10.34482
2020-09-14,17.93103
2020-09-15,6.89655
2020-09-16,11.03448
2020-09-17,7.5862
2020-09-18,8.96551
2020-09-19,6.20689
2020-09-20,12.41379
2020-09-21,17.93103
2020-09-22,8.27586
2020-09-23,9.65517
2020-09-24,14.48275
2020-09-25,6.89655
2020-09-26,17.93103
2020-09-27,18.62068
2020-09-28,18.62068
2020-09-29,10.34482
2020-09-30,3.44827
2020-10-02,16.55172
2020-10-03,11.03448
2020-10-04,14.48275
2020-10-05,12.41379
2020-10-06,18.62068
2020-10-07,21.37931
2020-10-08,10.34482
2020-10-09,10.34482
2020-10-10,14.48275
2020-10-11,18.62068
2020-10-12,19.31034
2020-10-13,6.89655
2020-10-14,14.48275
2020-10-15,14.48275
2020-10-16,6.89655
2020-10-17,11.03448
2020-10-18,11.03448
2020-10-19,15.17241
2020-10-20,20.68965
2020-10-21,11.72413
2020-10-22,11.03448
2020-10-23,7.5862
2020-10-24,15.86206
2020-10-25,24.82758
2020-10-26,19.31034
2020-10-27,4.13793
2020-10-28,13.10344
2020-10-29,15.86206
2020-10-30,28.27586
2020-10-31,20.68965
2020-11-01,15.17241
2020-11-02,11.03448
2020-11-03,15.86206
2020-11-04,14.48275
2020-11-05,6.20689
2020-11-06,15.86206
2020-11-07,11.72413
2020-11-08,13.10344
2020-11-09,23.44827
2020-11-10,15.17241
2020-11-11,8.27586
2020-11-12,7.5862
2020-11-13,9.65517
2020-11-14,15.17241
2020-11-15,23.44827
2020-11-16,9.65517
2020-11-17,6.89655
2020-11-18,5.51724
2020-11-19,11.72413
2020-11-20,15.86206
2020-11-21,11.72413
2020-11-22,13.7931
2020-11-23,7.5862
2020-11-24,8.96551
2020-11-25,8.96551
2020-11-26,10.34482
2020-11-27,14.48275
2020-11-28,13.10344
2020-11-29,8.96551
2020-11-30,6.89655
2020-12-01,17.93103
2020-12-02,10.34482
2020-12-03,8.27586
2020-12-04,17.24137
2020-12-05,22.06896
2020-12-06,13.10344
2020-12-07,15.86206
2020-12-08,17.93103
2020-12-09,14.48275
2020-12-10,16.55172
2020-12-11,19.31034
2020-12-12,11.72413
2020-12-13,13.10344
2020-12-14,8.27586
2020-12-15,17.24137
2020-12-16,10.34482
2020-12-17,4.82758
2020-12-18,15.86206
2020-12-19,11.03448
2020-12-20,15.17241
2020-12-21,20.68965
2020-12-22,13.10344
2020-12-23,17.24137
2020-12-24,10.34482
2020-12-25,15.17241
2020-12-26,21.37931
2020-12-27,12.41379
2020-12-28,8.96551
2020-12-29,9.65517
2020-12-30,13.10344
2020-12-31,6.89655
2021-01-01,15.17241
2021-01-02,19.31034
2021-01-03,22.75862
2021-01-04,21.37931
2021-01-05,22.06896
2021-01-06,11.72413
2021-01-07,22.06896
2021-01-08,24.13793
2021-01-09,10.34482
2021-01-10,24.13793
2021-01-11,28.27586
2021-01-12,20.68965
2021-01-13,16.55172
2021-01-14,9.65517
2021-01-15,18.62068
2021-01-16,10.34482
2021-01-17,28.96551
2021-01-18,21.37931
2021-01-19,18.62068
2021-01-20,12.41379
2021-01-21,8.96551
2021-01-22,25.51724
2021-01-23,29.65517
2021-01-24,30.34482
2021-01-25,21.37931
2021-01-26,20.68965
2021-01-27,15.86206
2021-01-28,11.72413
2021-01-29,18.62068
2021-01-30,20.68965
2021-01-31,26.20689
2021-02-01,28.96551
2021-02-02,26.20689
2021-02-03,21.37931
2021-02-04,25.51724
2021-02-05,36.55172
2021-02-06,17.24137
2021-02-07,21.37931
2021-02-08,26.89655
2021-02-09,19.31034
2021-02-10,19.31034
2021-02-11,8.96551
2021-02-12,3.44827
2021-02-13,26.20689
2021-02-14,28.96551
2021-02-15,27.5862
2021-02-16,18.62068
2021-02-17,33.7931
2021-02-18,13.7931
2021-02-19,25.51724
2021-02-20,33.7931
2021-02-21,24.13793
2021-02-22,20.68965
2021-02-23,17.24137
2021-02-24,21.37931
2021-02-25,13.10344
2021-02-26,22.06896
2021-02-27,28.27586
2021-02-28,24.82758
2021-03-01,33.10344
2021-03-02,21.37931
2021-03-03,20.68965
2021-03-04,23.44827
2021-03-05,24.82758
2021-03-06,25.51724
2021-03-07,22.06896
2021-03-08,28.96551
2021-03-09,20.68965
2021-03-10,22.75862
2021-03-11,24.13793
2021-03-12,21.37931
2021-03-13,22.75862
2021-03-14,19.31034
2021-03-15,28.27586
2021-03-16,26.89655
2021-03-17,24.82758
2021-03-18,17.93103
2021-03-19,19.31034
2021-03-20,18.62068
2021-03-21,27.5862
2021-03-22,32.41379
2021-03-23,21.37931
2021-03-24,22.06896
2021-03-25,11.72413
2021-03-26,19.31034
2021-03-27,13.7931
2021-03-28,19.31034
2021-03-29,17.93103
2021-03-30,28.96551
2021-03-31,18.62068
2021-04-01,20.68965
2021-04-02,23.44827
2021-04-03,25.51724
2021-04-04,28.96551
2021-04-05,15.17241
2021-04-06,18.62068
2021-04-07,17.93103
2021-04-08,31.72413
2021-04-09,23.44827
2021-04-10,20.0
2021-04-11,13.10344
2021-04-12,19.31034
2021-04-13,17.93103
2021-04-14,17.93103
2021-04-15,15.17241
2021-04-16,26.89655
2021-04-17,20.0
2021-04-18,23.44827
2021-04-19,26.20689
2021-04-20,24.13793
2021-04-21,15.17241
2021-04-22,15.86206
2021-04-23,21.37931
2021-04-24,14.48275
2021-04-25,10.34482
2021-04-26,20.0
2021-04-27,16.55172
2021-04-28,15.17241
2021-04-29,6.20689
2021-04-30,4.82758
2021-05-01,11.72413
2021-05-02,15.86206
2021-05-03,17.93103
2021-05-04,11.03448
2021-05-05,12.41379
2021-05-06,16.55172
2021-05-07,12.41379
2021-05-08,27.5862
2021-05-09,23.44827
2021-05-10,18.62068
2021-05-11,17.93103
2021-05-12,21.37931
2021-05-13,14.48275
2021-05-14,14.48275
2021-05-15,12.41379
2021-05-16,17.24137
2021-05-17,14.48275
2021-05-18,18.62068
2021-05-19,13.7931
2021-05-20,9.65517
2021-05-21,18.62068
2021-05-22,13.10344
2021-05-23,21.37931
2021-05-24,15.17241
2021-05-25,25.51724
2021-05-26,10.34482
2021-05-27,7.5862
2021-05-28,8.96551
2021-05-29,28.96551
2021-05-30,14.48275
2021-05-31,20.68965
2021-06-01,14.48275
2021-06-02,19.31034
2021-06-03,9.65517
2021-06-04,13.7931
2021-06-05,7.5862
2021-06-06,15.17241
2021-06-07,25.51724
2021-06-08,9.65517
2021-06-09,15.17241
2021-06-10,13.10344
2021-06-11,15.17241
2021-06-12,14.48275
2021-06-13,25.51724
2021-06-14,16.55172
2021-06-15,22.06896
2021-06-16,18.62068
2021-06-17,7.5862
2021-06-18,9.65517
2021-06-19,11.03448
2021-06-20,17.24137
2021-06-21,27.5862
2021-06-22,17.93103
2021-06-23,17.24137
2021-06-24,28.27586
2021-06-25,14.48275
2021-06-26,11.72413
2021-06-27,26.20689
2021-06-28,22.75862
2021-06-29,28.27586
2021-06-30,17.93103
2021-07-01,27.5862
2021-07-02,21.37931
2021-07-03,15.86206
2021-07-04,15.86206
2021-07-05,17.93103
2021-07-06,20.68965
2021-07-07,23.44827
2021-07-08,15.17241
2021-07-09,22.75862
2021-07-10,18.62068
2021-07-11,22.06896
2021-07-12,13.10344
2021-07-13,19.31034
2021-07-14,19.31034
2021-07-15,10.34482
2021-07-16,8.27586
2021-07-17,11.03448
2021-07-18,20.68965
2021-07-19,13.10344
2021-07-20,14.48275
2021-07-21,12.41379
2021-07-22,15.17241
2021-07-23,17.93103
2021-07-24,13.10344
2021-07-25,18.62068
2021-07-26,17.24137
2021-07-27,12.41379
2021-07-28,15.86206
2021-07-29,6.89655
2021-07-30,12.41379
2021-07-31,13.7931
2021-08-01,22.06896
2021-08-02,16.55172
2021-08-03,12.41379
2021-08-04,11.03448
2021-08-05,13.10344
2021-08-06,14.48275
2021-08-07,17.24137
2021-08-08,18.62068
2021-08-09,16.55172
2021-08-10,23.44827
2021-08-11,26.89655
2021-08-12,18.62068
2021-08-13,33.7931
2021-08-14,14.48275
2021-08-15,25.51724
2021-08-16,24.82758
2021-08-17,19.31034
2021-08-18,16.55172
2021-08-19,35.17241
2021-08-20,25.51724
2021-08-21,17.93103
2021-08-22,28.27586
2021-08-23,33.10344
2021-08-24,27.5862
2021-08-25,31.03448
2021-08-26,37.93103
2021-08-27,35.17241
2021-08-28,32.41379
2021-08-29,24.82758
2021-08-30,22.75862
2021-08-31,20.68965
2021-09-01,28.96551
2021-09-02,26.20689
2021-09-03,17.93103
2021-09-04,17.93103
2021-09-05,28.96551
2021-09-06,26.20689
2021-09-07,25.51724
2021-09-08,21.37931
2021-09-09,22.75862
2021-09-10,20.68965
2021-09-11,33.10344
2021-09-12,35.86206
2021-09-13,34.48275
2021-09-14,23.44827
2021-09-15,31.72413
2021-09-16,29.65517
2021-09-17,20.68965
2021-09-18,22.06896
2021-09-19,20.0
2021-09-20,10.34482
2021-09-21,4.13793
2021-09-22,28.96551
2021-09-23,38.62068
2021-09-24,24.82758
2021-09-25,24.82758
2021-09-26,26.89655
2021-09-27,36.55172
2021-09-28,20.68965
2021-09-29,24.82758
2021-09-30,33.10344
2021-10-01,35.17241
2021-10-02,30.34482
2021-10-03,33.7931
2021-10-04,31.03448
2021-10-05,29.65517
2021-10-06,31.03448
2021-10-07,29.65517
2021-10-08,37.24137
2021-10-09,25.51724
2021-10-10,32.41379
2021-10-11,25.51724
2021-10-12,22.75862
2021-10-13,33.7931
2021-10-14,28.27586
2021-10-15,20.68965
2021-10-16,22.06896
2021-10-17,33.10344
2021-10-18,45.51724
2021-10-19,21.37931
2021-10-20,30.34482
2021-10-21,24.82758
2021-10-22,33.10344
2021-10-23,28.27586
2021-10-24,42.75862
2021-10-25,75.17241
2021-10-26,60.0
2021-10-27,52.41379
2021-10-28,35.17241
2021-10-29,37.93103
2021-10-30,44.82758
2021-10-31,29.65517
2021-11-01,39.31034
2021-11-02,26.20689
2021-11-03,26.89655
2021-11-04,34.48275
2021-11-05,31.72413
2021-11-06,28.96551
2021-11-07,40.0
2021-11-08,37.93103
2021-11-09,46.89655
2021-11-10,35.86206
2021-11-11,38.62068
2021-11-12,31.72413
2021-11-13,26.89655
2021-11-14,24.13793
2021-11-15,30.34482
2021-11-16,35.17241
2021-11-17,29.65517
2021-11-18,41.37931
2021-11-19,25.51724
2021-11-20,27.5862
2021-11-21,43.44827
2021-11-22,46.20689
2021-11-23,42.06896
2021-11-24,20.0
2021-11-25,40.0
2021-11-26,26.20689
2021-11-27,42.75862
2021-11-28,39.31034
2021-11-29,34.48275
2021-11-30,14.48275
2021-12-01,24.82758
2021-12-02,16.55172
2021-12-03,31.03448
2021-12-04,35.86206
2021-12-05,37.93103
2021-12-06,32.41379
2021-12-07,29.65517
2021-12-08,35.17241
2021-12-09,35.17241
2021-12-10,33.10344
2021-12-11,26.89655
2021-12-12,26.20689
2021-12-13,21.37931
2021-12-14,25.51724
2021-12-15,24.82758
2021-12-16,20.68965
2021-12-17,23.44827
2021-12-18,22.06896
2021-12-19,30.34482
2021-12-20,31.03448
2021-12-21,22.75862
2021-12-22,27.5862
2021-12-23,35.86206
2021-12-24,29.65517
2021-12-25,24.82758
2021-12-26,31.72413
2021-12-27,25.51724
2021-12-28,37.24137
2021-12-29,31.72413
2021-12-30,35.86206
2021-12-31,43.44827
2022-01-01,20.68965
2022-01-02,53.10344
2022-01-03,51.72413
2022-01-04,40.0
2022-01-05,33.7931
2022-01-06,46.20689
2022-01-07,37.24137
2022-01-08,37.24137
2022-01-09,43.44827
2022-01-10,29.65517
2022-01-11,28.96551
2022-01-12,33.10344
2022-01-13,32.41379
2022-01-14,41.37931
2022-01-15,43.44827
2022-01-16,42.75862
2022-01-17,47.5862
2022-01-18,55.86206
2022-01-19,45.51724
2022-01-20,61.37931
2022-01-21,52.41379
2022-01-22,41.37931
2022-01-23,37.93103
2022-01-24,35.17241
2022-01-25,33.7931
2022-01-26,42.75862
2022-01-27,31.72413
2022-01-28,32.41379
2022-01-29,31.03448
2022-01-30,40.0
2022-01-31,28.96551
2022-02-01,26.20689
2022-02-02,42.06896
2022-02-03,68.96551
2022-02-04,71.03448
2022-02-05,46.20689
2022-02-06,58.62068
2022-02-07,53.7931
2022-02-08,32.41379
2022-02-09,53.7931
2022-02-10,45.51724
2022-02-11,64.82758
2022-02-12,60.68965
2022-02-13,47.5862
2022-02-14,46.89655
2022-02-15,44.13793
2022-02-16,47.5862
2022-02-17,28.96551
2022-02-18,31.72413
2022-02-19,43.44827
2022-02-20,52.41379
2022-02-21,37.24137
2022-02-22,37.93103
2022-02-23,28.27586
2022-02-24,51.03448
2022-02-25,48.96551
2022-02-26,44.13793
2022-02-27,47.5862
2022-02-28,52.41379
2022-03-01,44.82758
2022-03-02,38.62068
2022-03-03,27.5862
2022-03-04,40.0
2022-03-05,53.7931
2022-03-06,55.86206
2022-03-07,28.96551
2022-03-08,31.72413
2022-03-09,40.0
2022-03-10,25.51724
2022-03-11,37.93103
2022-03-12,43.44827
2022-03-13,34.48275
2022-03-14,25.51724
2022-03-15,26.89655
2022-03-16,34.48275
2022-03-17,28.96551
2022-03-18,31.03448
2022-03-19,40.0
2022-03-20,43.44827
2022-03-21,26.20689
2022-03-22,24.13793
2022-03-23,30.34482
2022-03-24,22.06896
2022-03-25,20.68965
2022-03-26,33.10344
2022-03-27,30.34482
2022-03-28,37.24137
2022-03-29,22.75862
2022-03-30,46.20689
